drug_id,drug_name,n_group1,n_group2,median_group1,median_group2,cohens_d,mannwhitney_U,pvalue,fdr
BRD:BRD-K46556543-001-01-4,,40,71,-0.0171,0.0059,-0.0728,1364.0,0.7331857057815014,0.9964436473790778
BRD:BRD-K42859542-001-03-3,,40,71,0.3139,0.3262,0.1277,1476.0,0.7331857057815014,0.9964436473790778
BRD:BRD-K00003310-001-01-9,derazantinib,49,116,-0.3463,-0.2606,-0.0777,2746.0,0.7334234635793577,0.9964436473790778
BRD:BRD-K93502141-001-01-6,,38,63,-0.0092,-0.0124,-0.128,1148.0,0.7338616655566056,0.9964436473790778
BRD:BRD-A30815329-001-10-5,,39,69,0.5655,0.4718,-0.0262,1399.0,0.7346116726783183,0.9964436473790778
BRD:BRD-K89657519-001-01-8,,39,69,-0.059,-0.0177,-0.0293,1292.0,0.7346116726783183,0.9964436473790778
BRD:BRD-K73397362-001-06-6,,39,69,-0.0612,-0.1791,-0.0516,1399.0,0.7346116726783183,0.9964436473790778
BRD:BRD-A09056319-003-07-7,,40,70,0.1946,0.1876,0.0754,1455.0,0.7348760313524725,0.9964436473790778
BRD:BRD-A07780951-001-08-9,,40,70,0.3565,0.3048,0.2491,1455.0,0.7348760313524725,0.9964436473790778
BRD:BRD-A78391468-001-02-8,,40,70,0.1246,0.1611,-0.0365,1345.0,0.7348760313524725,0.9964436473790778
BRD:BRD-K43389675-003-20-9,,40,70,-3.9847,-3.7035,0.0046,1345.0,0.7348760313524725,0.9964436473790778
BRD:BRD-K92073408-001-16-5,,40,70,0.0992,0.0737,-0.0397,1345.0,0.7348760313524725,0.9964436473790778
