gene,n_R248W,n_other_mut,median_R248W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
B4GALT7,69,726,-0.1090625650674396,-0.1150852596712456,0.07596310092846782,-0.17097519738157507,0.32290139923851074,26286.0,0.49687285393858716,,0.9682055144504245,False
C4BPB,69,726,-0.0379199123496016,-0.047572988703611846,0.07606599942829526,-0.17087237540903383,0.32300437426562434,25888.0,0.6447391789789029,,0.9813551749863859,False
CCL26,69,726,-0.0805027410229489,-0.10563034492166035,0.07607094968403694,-0.17086742883748884,0.3230093282055627,26971.0,0.2913353733995312,,0.9444828386235751,False
XPO4,69,726,-0.0954958266257487,-0.0982006853150651,0.07613280061527314,-0.17080562395862697,0.32307122518917325,25487.0,0.8094763639586979,,0.9855497901217778,False
ACVR1C,69,726,0.1131557217109238,0.0921874790469084,0.07614779234292338,-0.17079064339900804,0.32308622808485477,26177.0,0.5355060783551701,,0.9744754007319513,False
APCDD1L,69,726,0.0857888374221314,0.08681947616428855,0.07617433691612077,-0.1707641186054833,0.32311279243772484,25137.0,0.9608411551645486,,0.9967001906857773,False
TLE6,69,726,-0.0128170480413236,-0.00677524257981985,0.0761859140698284,-0.17075255008064327,0.32312437822030005,25801.0,0.6793456363336934,,0.9822617193046083,False
ARHGAP32,69,726,0.0580338317323268,0.049984609133119196,0.07618971388308557,-0.17074875309980891,0.32312818086598005,26450.0,0.44166438229429283,,0.965086619004918,False
TIAM1,69,726,-0.0854883009923432,-0.10289321173471436,0.07621599914446217,-0.17072248743562413,0.32315448572454847,27164.0,0.24561223516264186,,0.9298372880760727,False
KLHDC8B,69,726,-0.0611175475347479,-0.0654663876492365,0.0763020058434639,-0.1706365449068558,0.3232405565937836,26057.0,0.5797204367311317,,0.9778393076401718,False
KLB,69,726,-0.0095876256339297,-0.0239908985940133,0.07643192016641788,-0.17050672765113073,0.3233705679839665,25608.0,0.7584780557422874,,0.9846141703822358,False
C1QTNF4,69,726,-0.3184541618156113,-0.3650261839386755,0.07647871050946295,-0.1704599723085555,0.32341739332748143,26180.0,0.534422872388059,,0.9743150419653185,False
WDR74,69,726,-1.822127664540432,-1.8550027771669013,0.07648728498653194,-0.17045140424775412,0.32342597422081804,26230.0,0.5165337674408236,,0.971930306328209,False
NEK1,69,726,-0.048977365276394,-0.0664946637795765,0.07657605101814091,-0.17036270468188514,0.32351480671816696,26715.0,0.36031773737094597,,0.9540092064552638,False
SRPK1,69,726,-0.0588514589287728,-0.0581085663660379,0.07660744620900134,-0.17033133301739317,0.32354622543539585,25780.0,0.6878047121358387,,0.982517665309694,False
SNAP25,69,726,0.0293075665385442,0.02414562135182845,0.07660853658574415,-0.17033024345791065,0.32354731662939895,26319.0,0.4854764897481618,,0.9669109002141754,False
UBE2L6,69,726,0.014847906210255,0.0094912582663786,0.07661526015449438,-0.17032352492887365,0.3235540452378624,26139.0,0.5493217273600937,,0.974937906968663,False
UFSP2,69,726,-0.1384747945033954,-0.16114509180301484,0.0766248721324,-0.17031392015648317,0.32356366442128315,26946.0,0.29765182894716724,,0.9456944655731666,False
TSSK1B,69,726,-0.054335737602294,-0.0544791275743558,0.07663734230112391,-0.17030145933723284,0.32357614393948064,25034.0,0.994528733058889,,0.9994254118443194,False
MANF,69,726,-0.3620494124515305,-0.35439834456843256,0.07664086752495616,-0.1702979367567029,0.32357967180661523,24892.0,0.9324554885814489,,0.993676569290429,False
IRAK3,69,726,0.0418188419854664,0.034186295942819245,0.07665489999801896,-0.1702839148067497,0.32359371480278765,25679.0,0.7290201253141593,,0.9838032569467552,False
MRPL4,69,726,-0.8133169421729198,-0.8396194494598868,0.0766628546985379,-0.1702759660724057,0.3236016754694815,26277.0,0.5000055155080574,,0.969883048309712,False
ALDH3B2,69,726,-0.0342330840071839,-0.0413856039149612,0.07671030250592951,-0.17022855386461805,0.3236491588764771,25879.0,0.6482852834724673,,0.9813551749863859,False
ZNF319,69,726,-0.0204077691855572,-0.0392477294777962,0.07679687498982923,-0.17014204639191158,0.32373579637157,26233.0,0.5154703761724089,,0.971709347681609,False
ZNF562,69,726,0.0068118717315382,-0.0008510135432025,0.07680854268203013,-0.17013038746711437,0.32374747283117467,26108.0,0.560721086907251,,0.9758604104953815,False
MS4A10,69,726,-0.0686545912328824,-0.0889355458357432,0.07685585440116653,-0.17008311131286663,0.3237948201151997,26146.0,0.5467635864088957,,0.974937906968663,False
GLP1R,69,726,0.0775187253509122,0.08384578194242315,0.07688366751456131,-0.1700553191172018,0.3238226541463244,25488.0,0.8090512260944832,,0.9855497901217778,False
DPP7,69,726,-0.1464365747717616,-0.1342595167078641,0.07692483030564674,-0.1700141872977789,0.3238638479090724,25341.0,0.8720865497397154,,0.9870559196802824,False
RPS6KA5,69,726,0.0472751134541778,0.03374610284681065,0.07695507878718302,-0.1699839615863367,0.32389411916070276,26462.0,0.4377674864050267,,0.9646931805781737,False
IL7,69,726,0.1080919661735314,0.0991038868186562,0.07700017873467144,-0.1699388956052731,0.32393925307461596,26244.0,0.5115810197010575,,0.9712185563006525,False
RARRES1,69,726,0.081116003854286,0.06631549578173046,0.07701937113681928,-0.16991971766366215,0.3239584599373007,26166.0,0.5394872749576269,,0.9744754007319513,False
LRRC37B,69,726,-0.3688725678109315,-0.36269114231549227,0.07705565225016446,-0.16988346389620584,0.3239947683965348,25806.0,0.6773374589738379,,0.9822617193046083,False
SLC25A16,69,726,0.0273738072073117,0.0302895814910287,0.07710104591988427,-0.16983810445884562,0.3240401962986142,25566.0,0.7760735479081742,,0.9855497901217778,False
DUSP2,69,726,0.0821718407259674,0.0903929483093139,0.07712211357933944,-0.16981705269382147,0.32406127985250033,25288.0,0.8950365954156655,,0.9911259594677888,False
HEATR6,69,726,-0.1952506484914312,-0.193423966126713,0.07712325424905801,-0.16981591288480152,0.3240624213829176,25709.0,0.7166895032717107,,0.9833518334058746,False
ACOT4,68,716,-0.06303020435755835,-0.1140684588030281,0.0771492894119667,-0.17159111608556982,0.3258896949095032,26948.0,0.144614008675088,,0.891064890439752,False
ABCB6,69,726,0.0365729179952537,0.012352138160532,0.07718185036880622,-0.1697573609961997,0.3241210617338121,27543.0,0.17100384744123887,,0.9101098814974471,False
ENTPD7,69,726,-0.0209891801785332,-0.0269664316407808,0.0771873713130032,-0.16975184422120604,0.32412658684721246,26182.0,0.5337013499418749,,0.9740593272119039,False
CPSF4L,69,726,-0.011880315538904,-0.02157392086238245,0.0772037419830776,-0.16973548591538062,0.32414296988153585,26145.0,0.5471286736604826,,0.974937906968663,False
SLC12A5,69,726,0.0064224994632991,0.00811039444455075,0.0772040838193551,-0.16973514433730919,0.32414331197601937,26159.0,0.5420284586646662,,0.9745424939653193,False
ADCY10,69,726,0.0249024624558806,0.007966396369771499,0.07722452460132566,-0.16971471899736268,0.324163768200014,26391.0,0.46111056773695624,,0.965086619004918,False
SLC25A45,69,726,-0.0463954108318116,-0.0475005970112532,0.07722810313153272,-0.16971114317098288,0.32416734943404835,25656.0,0.7385215023665204,,0.9846141703822358,False
LRRC7,69,726,0.0376970217917602,0.0177444134746109,0.07723515729284564,-0.16970409433994382,0.3241744089256351,26682.0,0.36990217613586085,,0.9543514903805885,False
RFX3,69,726,0.1204280439180659,0.10210461534000985,0.07727934677752217,-0.16965993825685372,0.3242186318118981,26442.0,0.44427331005543513,,0.965086619004918,False
INCA1,69,726,-0.0180937210133488,-0.02900001186152715,0.07727981983207237,-0.16965946555997546,0.3242191052241202,26311.0,0.48822618637285975,,0.9669109002141754,False
GNRH2,69,726,0.0130430221891477,0.0068344121391117,0.07731642118600798,-0.1696228918866036,0.32425573425861953,26025.0,0.5917937216750966,,0.9795383129394515,False
SALL3,69,726,0.0283820821977746,0.0066588822432248,0.07731895850869998,-0.16962035648330231,0.3242582735007023,27925.0,0.1144407933620895,,0.8874097069466382,False
CASC3,69,726,-0.3978531628053011,-0.4135521536365825,0.07732875564346246,-0.16961056676030084,0.32426807804722574,25872.0,0.6510488957763627,,0.9813551749863859,False
