gene,score,logfoldchange,pval,pval_adj,subtype
NPY,12.55027,,3.9615489167432466e-36,1.3428033869018078e-33,NPY_NGF
AP1S2,12.523932,,5.5229496611887754e-36,1.8346134184536877e-33,NPY_NGF
DNER,12.368031,,3.8924780689857317e-35,1.2676503577996868e-32,NPY_NGF
KCNIP4,12.226596,,2.2413650620915197e-34,7.159006214668856e-32,NPY_NGF
NFIX,12.197547,,3.2033061296752116e-34,1.0038436133542565e-31,NPY_NGF
FREM1,12.1874695,,3.6250336089298134e-34,1.1149663557539865e-31,NPY_NGF
PMEPA1,12.111731,,9.154241288735996e-34,2.7644144284475662e-31,NPY_NGF
ALK,12.077524,,1.3883802894942823e-33,4.1015199741297245e-31,NPY_NGF
LINGO2,12.076394,,1.4075900928737089e-33,4.1015199741297245e-31,NPY_NGF
EYA4,11.925207,,8.74657143399278e-33,2.4622339821556962e-30,NPY_NGF
DGKB,11.902778,,1.1447201897444572e-32,3.168776271910948e-30,NPY_NGF
NTNG1,11.873275,,1.6296108050242699e-32,4.3655170742980806e-30,NPY_NGF
RAB3C,11.86023,,1.904494194786921e-32,5.02091175892317e-30,NPY_NGF
SPHKAP,11.714538,,1.07376023187695e-31,2.786575576756916e-29,NPY_NGF
GABBR2,11.6334915,,2.78470269114944e-31,7.115557999584777e-29,NPY_NGF
ADRA1A,11.557292,,6.781364348229033e-31,1.706540613026303e-28,NPY_NGF
GRIN3A,11.545564,,7.772993861589789e-31,1.9268903738379822e-28,NPY_NGF
GALNTL6,11.521446,,1.028691584594953e-30,2.512579195373173e-28,NPY_NGF
COBL,11.445415,,2.4791519507132177e-30,5.9675702535356285e-28,NPY_NGF
HPCAL1,11.412744,,3.611540560727143e-30,8.448461573678468e-28,NPY_NGF
SCG2,11.379049,,5.317635988143499e-30,1.2266752239871579e-27,NPY_NGF
LSAMP,11.246013,,2.4229978709925214e-29,5.438320491799295e-27,NPY_NGF
UNC5D,11.194451,,4.340795756770627e-29,9.612836896560446e-27,NPY_NGF
PRELID2,11.149434,,7.206331817460755e-29,1.5748679625816535e-26,NPY_NGF
MAGI3,11.12691,,9.279688021642236e-29,2.0016407578111154e-26,NPY_NGF
NYAP2,11.047144,,2.263013146060562e-28,4.818767351656395e-26,NPY_NGF
NCAM2,10.935708,,7.7796231042371615e-28,1.6355919004844939e-25,NPY_NGF
SFRP1,10.877835,,1.4701286748010405e-27,3.0521708949713104e-25,NPY_NGF
CSMD3,10.826719,,2.5720714876231902e-27,5.209699431455313e-25,NPY_NGF
RGS12,10.823508,,2.6638173942306355e-27,5.33052326515381e-25,NPY_NGF
CDK14,10.625696,,2.2631766554628588e-26,4.4222471847744256e-24,NPY_NGF
SOX2-OT,10.402369,,2.4184631049960595e-25,4.564574285327222e-23,NPY_NGF
GPR158,10.306344,,6.596311716686771e-25,1.2173126811383398e-22,NPY_NGF
